Date,Team,Notes,Player,Injury Class
2011-01-21,Pistons,sprained left ankle (DTD),Charlie Villanueva,DTD
2011-01-21,Raptors,sore right knee (DTD),Joey Dorsey,DTD
2011-01-21,Raptors,strained right hamstring (DNP),Leandro Barbosa,DNP
2011-01-21,Spurs,sprained right thumb (DNP),George Hill,DNP
2011-01-21,Wizards,sprained elbow (DTD),Kirk Hinrich,DTD
2011-01-22,Blazers,recovering from arthroscopic surgery on left knee to repair torn meniscus (DNP),Marcus Camby,DNP
2011-01-22,Bucks,plantar fasciitis in left foot (DNP),Drew Gooden,DNP
2011-01-22,Bucks,strained right hip (DNP),John Salmons,DNP
2011-01-22,Cavaliers,strained lower back (DNP),Anthony Parker,DNP
2011-01-22,Celtics,sore left knee (DNP),Jermaine O'Neal,DNP
2011-01-22,Celtics,sore right knee (DNP),Shaquille O'Neal,DNP
2011-01-22,Heat,migraine headache (DNP),Dwyane Wade,DNP
2011-01-22,Hornets,right knee tendinitis (DNP),Trevor Ariza,DNP
2011-01-22,Magic,foot injury (out indefinitely),Jason Williams,out indefinitely
2011-01-22,Raptors,strained right patella tendon (DNP),Joey Dorsey,DNP
2011-01-22,Raptors,strained right hamstring (DNP),Leandro Barbosa,DNP
2011-01-22,Raptors,sore right knee (DNP),Linas Kleiza,DNP
2011-01-22,Spurs,sprained right thumb (DNP),George Hill,DNP
2011-01-24,Bucks,strained right hip (DNP),John Salmons,DNP
2011-01-24,Cavaliers,strained lower back (DNP),Anthony Parker,DNP
2011-01-24,Raptors,strained right patella tendon (DNP),Joey Dorsey,DNP
2011-01-24,Raptors,flu-like symptoms / ankle injury (CBC) (DNP),Jose Calderon,DNP
2011-01-24,Raptors,sore right knee (DNP),Linas Kleiza,DNP
2011-01-25,Celtics,sore right leg (DNP),Shaquille O'Neal,DNP
2011-01-25,Clippers,sprained right wrist (DNP),Eric Gordon,DNP
2011-01-26,Bucks,strained right hip (DNP),John Salmons,DNP
2011-01-26,Clippers,sprained right wrist (DNP),Eric Gordon,DNP
2011-01-26,Nuggets,left knee injury (DNP),Kenyon Martin,DNP
2011-01-27,Celtics,sore right hip (DNP),Shaquille O'Neal,DNP
2011-01-28,Bucks,strained right hip (DNP),John Salmons,DNP
2011-01-28,Heat,sprained right wrist (DNP),Dwyane Wade,DNP
2011-01-28,Jazz,strained tendon in right wrist (DNP),Deron Williams,DNP
2011-01-28,Jazz,strained lower back (DTD),Mehmet Okur,DTD
2011-01-28,Nets,strained lower back (DNP),Jordan Farmar,DNP
2011-01-28,Pistons,bruised right shoulder (DNP),Rodney Stuckey,DNP
2011-01-28,Wizards,sprained right ankle (DNP),Kirk Hinrich,DNP
2011-01-29,Bucks,strained right hip (DNP),John Salmons,DNP
2011-01-29,Nets,strained lower back (DNP),Jordan Farmar,DNP
2011-01-29,Wizards,right leg injury (DTD),Mustafa Shakur,DTD
2011-01-30,Jazz,strained tendon in right wrist (DNP),Deron Williams,DNP
