Date,Team,Notes,Player,Injury Class
2015-06-02,Kings,surgery on right wrist to repair torn ligament,Carl Landry,Other
2015-06-04,Hawks,surgery to repair separated right shoulder (out for season),Shelvin Mack,out for season
2015-06-05,Cavaliers,fractured left kneecap (out for season),Kyrie Irving,out for season
2015-06-06,Cavaliers,surgery on left knee to repair fractured kneecap (out indefinitely),Kyrie Irving,out indefinitely
2015-06-16,Bulls,surgery on left ankle (out for season),Taj Gibson,out for season
2015-06-23,Heat,player declined to exercise contract option,Goran Dragic,Other
2015-06-30,Hawks,surgery on right elbow to remove loose bodies (out indefinitely),Kyle Korver,out indefinitely
2015-07-02,Cavaliers,arthroscopic surgery on right knee (out indefinitely),Timofey Mozgov,out indefinitely
2015-07-09,Heat,fractured jaw (out indefinitely),Tyler Johnson,out indefinitely
2015-07-11,76ers,surgery on right foot to undergo bone graft (out for season) (date approximate),Joel Embiid,out for season
2015-07-15,Nets,arthroscopic surgery on right knee to remove torn cartilage (out indefinitely),Thomas Robinson,out indefinitely
2015-07-21,Wizards,surgery on lower back (out indefinitely),Jared Dudley,out indefinitely
2015-08-06,Jazz,torn ACL in left knee (out indefinitely),Dante Exum,out indefinitely
2015-08-19,76ers,surgery on right foot to have 2 screws replaced and a bone graft (out for season) (P),Joel Embiid,out for season
2015-08-20,Warriors,surgery on right hip to repair torn labrum (out indefinitely),Kevon Looney,out indefinitely
2015-09-02,,surgery on left ankle to repair torn ligaments (out indefinitely),Glen Davis,out indefinitely
2015-09-02,Grizzlies,fractured left foot (surgery) (out indefinitely),Jarell Martin,out indefinitely
2015-09-03,,surgery on hip to repair torn labrum (out indefinitely),Landry Fields,out indefinitely
2015-09-03,Jazz,surgery on left knee to repair torn ACL (out indefinitely),Dante Exum,out indefinitely
2015-09-22,Pistons,surgery to repair fractured nose (out indefinitely),Darrun Hilliard,out indefinitely
2015-09-25,Bulls,surgery on back (out indefinitely),Mike Dunleavy,out indefinitely
2015-09-29,Cavaliers,right wrist injury (surgery) (out indefinitely),Iman Shumpert,out indefinitely
2015-09-30,Bulls,surgery to repair fractured left orbital bone (out indefinitely),Derrick Rose,out indefinitely
2015-10-01,Warriors,took leave of absence as head coach recovering from surgery on back (out indefinitely),Steve Kerr,out indefinitely
2015-10-06,Hornets,surgery on right shoulder to repair torn labrum (out indefinitely),Michael Kidd-Gilchrist,out indefinitely
2015-10-06,Pelicans,strained right hamstring (out indefinitely),Alexis Ajinca,out indefinitely
2015-10-08,Pelicans,strained right calf (out indefinitely),Omer Asik,out indefinitely
2015-10-13,Wizards,surgery on left ankle to remove bone fragment (DTD),Alan Anderson,DTD
2015-10-15,Nets,torn ligament in right thumb (surgery) (out indefinitely),Willie Reed,out indefinitely
2015-10-20,Pelicans,arthroscopic surgery on right knee (out indefinitely),Tyreke Evans,out indefinitely
2015-10-26,76ers,sprained MCL in right knee (DTD),Robert Covington,DTD
2015-10-26,Blazers,knee injury (DTD),Cliff Alexander,DTD
2015-10-26,Bucks,sore left knee (DTD),Jabari Parker,DTD
2015-10-26,Bucks,strained right hamstring (DTD),Ovinton Mayo,DTD
2015-10-26,Knicks,strained left hamstring (DTD),Arron Afflalo,DTD
2015-10-26,Knicks,sore right knee (DTD),Kevin Seraphin,DTD
2015-10-26,Knicks,back injury (DTD),Louis Amundson,DTD
2015-10-26,Mavericks,recovering from arthroscopic surgery on right knee to repair cartilage damage (DTD),Chandler Parsons,DTD
2015-10-26,Nets,knee injury (DTD),Chris McCullough,DTD
2015-10-26,Nets,sore left hamstring (DTD),Jarrett Jack,DTD
2015-10-26,Nuggets,bruised knee (DTD),Jusuf Nurkic,DTD
2015-10-26,Rockets,recovering from surgery on back (DTD),Donatas Motiejunas,DTD
2015-10-26,Timberwolves,recovering from surgery on right Achilles (DTD),Nikola Pekovic,DTD
2015-10-26,Wizards,hip injury (out for season),Martell Webster,out for season
2015-10-27,Pelicans,recovering from surgery on lower right leg to remove screw / rest (DTD),Jrue Holiday,DTD
2015-10-27,Pelicans,sore/strained left hamstring (DTD),Luke Babbitt,DTD
2015-10-27,Pelicans,returned to lineup,Alexis Ajinca,returned to lineup
2015-10-28,76ers,right knee injury (out indefinitely),Kendall Marshall,out indefinitely
2015-10-28,76ers,back spasms (DTD),Nik Stauskas,DTD
2015-10-28,Hornets,sprained right ankle (DTD),Jeremy Lamb,DTD
2015-10-28,Nets,returned to lineup,Thomas Robinson,returned to lineup
2015-10-28,Pacers,sore right ankle (DTD),Myles Turner,DTD
2015-10-28,Pelicans,returned to lineup,Jrue Holiday,returned to lineup
2015-10-28,Warriors,concussion (DTD),Andrew Bogut,DTD
2015-10-29,Mavericks,sprained left knee (DTD),Deron Williams,DTD
2015-10-29,Mavericks,rest (DTD),Wesley Matthews,DTD
2015-10-29,Pacers,returned to lineup,Myles Turner,returned to lineup
2015-10-29,Pistons,fractured right foot (out indefinitely),Jodie Meeks,out indefinitely
2015-10-30,76ers,returned to lineup,Nik Stauskas,returned to lineup
2015-10-30,Bucks,sore left Achilles (DTD),John Henson,DTD
2015-10-30,Hornets,returned to lineup,Jeremy Lamb,returned to lineup
2015-10-30,Nets,returned to lineup,Jarrett Jack,returned to lineup
2015-10-30,Pistons,surgery on right foot to repair fracture (date approximate),Jodie Meeks,Other
2015-10-31,Pacers,shoulder injury (DTD),Glenn Robinson,DTD
2015-10-31,Pelicans,returned to lineup,Luke Babbitt,returned to lineup
2015-10-31,Pelicans,returned to lineup,Omer Asik,returned to lineup
2015-11-01,Mavericks,returned to lineup,Deron Williams,returned to lineup
2015-11-01,Mavericks,returned to lineup,Wesley Matthews,returned to lineup
2015-11-01,Pelicans,strained right pectoral muscle (DTD),Kendrick Perkins,DTD
2015-11-01,Rockets,rest (DTD),Dwight Howard,DTD
2015-11-01,Rockets,placed on IL with facial (eyelid) injury,Terrence Jones,Other
2015-11-02,76ers,returned to lineup,Robert Covington,returned to lineup
2015-11-02,Knicks,returned to lineup,Kevin Seraphin,returned to lineup
2015-11-02,Rockets,foot injury (DTD),Chuck Hayes,DTD
2015-11-02,Rockets,returned to lineup,Dwight Howard,returned to lineup
2015-11-03,76ers,sprained MCL in right knee (DTD),Robert Covington,DTD
2015-11-03,Cavaliers,bruised right knee (DTD),Earl Smith,DTD
2015-11-03,Hawks,sore right ankle (DTD),Mike Muscala,DTD
2015-11-03,Nuggets,strained lower back (DTD),Joffrey Lauvergne,DTD
2015-11-03,Nuggets,strained lower back (DTD),Nikola Jokic,DTD
2015-11-03,Pacers,sore lower back (DTD),Ian Mahinmi,DTD
2015-11-03,Pacers,returned to lineup,Glenn Robinson,returned to lineup
2015-11-03,Pelicans,sprained right calf (DTD),Omer Asik,DTD
2015-11-03,Lakers,nose injury (DTD),Larry Nance,DTD
2015-11-04,Bucks,strained left ankle (DTD),Michael Carter-Williams,DTD
2015-11-04,Hawks,returned to lineup,Mike Muscala,returned to lineup
2015-11-04,Magic,sprained right knee (DTD),Nikola Vucevic,DTD
2015-11-04,Pacers,sore right ankle (DTD),Calvin Miles,DTD
2015-11-04,Rockets,concussion (DTD),Patrick Beverley,DTD
2015-11-05,Nuggets,returned to lineup,Nikola Jokic,returned to lineup
2015-11-06,Hawks,ankle injury (DTD),Mike Muscala,DTD
2015-11-06,Lakers,returned to lineup,Larry Nance,returned to lineup
2015-11-06,Pacers,returned to lineup,Ian Mahinmi,returned to lineup
2015-11-06,Rockets,rest / back injury (DTD),Dwight Howard,DTD
2015-11-06,Rockets,returned to lineup,Chuck Hayes,returned to lineup
2015-11-06,Wizards,back injury (DTD),Drew Gooden,DTD
2015-11-06,Pelicans,sprained left ankle (DTD),Norris Cole,DTD
2015-11-07,Clippers,sore right groin (DTD),Chris Paul,DTD
2015-11-07,Hawks,returned to lineup,Mike Muscala,returned to lineup
2015-11-07,Kings,sore hamstring (DTD),Darren Collison,DTD
2015-11-07,Kings,sprained right ankle (DTD),Seth Curry,DTD
2015-11-07,Pacers,ankle injury (DTD),Rodney Stuckey,DTD
2015-11-07,Pelicans,lower right leg injury (DTD),Jrue Holiday,DTD
2015-11-07,Rockets,returned to lineup,Dwight Howard,returned to lineup
2015-11-08,Cavaliers,DNP,Anderson Varejao,Other
2015-11-08,Knicks,returned to lineup,Louis Amundson,returned to lineup
2015-11-09,76ers,sore left wrist (DTD),Nerlens Noel,DTD
2015-11-09,Bulls,sore left knee (DTD),Joakim Noah,DTD
2015-11-09,Clippers,returned to lineup,Chris Paul,returned to lineup
2015-11-09,Grizzlies,sore right knee (DTD),Brandan Wright,DTD
2015-11-09,Magic,sore left knee (DTD),Jason Smith,DTD
2015-11-09,Nets,sore right foot (DTD),Brook Lopez,DTD
2015-11-09,Nuggets,sprained back / SI joint (DTD),Jameer Nelson,DTD
2015-11-09,Pacers,sore right ankle (DTD),Rodney Stuckey,DTD
2015-11-09,Pacers,returned to lineup,Calvin Miles,returned to lineup
2015-11-09,Pacers,returned to lineup,Rodney Stuckey,returned to lineup
2015-11-09,Wizards,sore left shoulder (DTD),Bradley Beal,DTD
2015-11-10,Cavaliers,returned to lineup,Earl Smith,returned to lineup
2015-11-10,Pelicans,returned to lineup,Jrue Holiday,returned to lineup
2015-11-10,Pelicans,returned to lineup,Omer Asik,returned to lineup
2015-11-10,Timberwolves,sore right knee (DTD),Andrew Wiggins,DTD
2015-11-10,Timberwolves,sore left knee (DTD),Ricky Rubio,DTD
2015-11-10,Wizards,sore back (DTD),Nene,DTD
2015-11-10,Wizards,returned to lineup,Drew Gooden,returned to lineup
2015-11-11,76ers,strained right hamstring (DTD),Richaun Holmes,DTD
2015-11-11,Blazers,dislocated left shoulder (out indefinitely),Meyers Leonard,out indefinitely
2015-11-11,Bucks,rest (DTD),Jabari Parker,DTD
2015-11-11,Grizzlies,recovering from surgery on left foot to repair fracture (DTD) (P),Jarell Martin,DTD
2015-11-11,Magic,sore left calf (DTD),Charles Watson,DTD
2015-11-11,Pacers,sprained right ankle (DTD),Rodney Stuckey,DTD
2015-11-11,Pelicans,strained right hip (DTD),Anthony Davis,DTD
2015-11-11,Pelicans,lower right leg injury (DTD),Jrue Holiday,DTD
2015-11-11,Rockets,sore back (DTD),Sam Dekker,DTD
2015-11-11,Thunder,strained left hamstring (DTD),Kevin Durant,DTD
2015-11-12,Clippers,sore right groin (DTD),Chris Paul,DTD
2015-11-12,Clippers,lower back spasms (DTD),Jonathan Redick,DTD
2015-11-12,Magic,concussion (DTD),Victor Oladipo,DTD
2015-11-12,Pacers,chip fracture in left thumb (out indefinitely),Myles Turner,out indefinitely
2015-11-12,Timberwolves,returned to lineup,Andrew Wiggins,returned to lineup
2015-11-13,76ers,returned to lineup,Nerlens Noel,returned to lineup
2015-11-13,Bulls,returned to lineup,Joakim Noah,returned to lineup
2015-11-13,Kings,gastroenteritis (DTD),Rudy Gay,DTD
2015-11-13,Nuggets,returned to lineup,Jameer Nelson,returned to lineup
2015-11-13,Pelicans,returned to lineup,Jrue Holiday,returned to lineup
2015-11-13,Jazz,sprained left ankle (DTD),Rudy Gobert,DTD
2015-11-13,Magic,sore left knee (DTD),Jason Smith,DTD
2015-11-14,Grizzlies,sore shoulder (DTD),James Ennis,DTD
2015-11-14,Mavericks,Achilles injury (DTD),Wesley Matthews,DTD
2015-11-14,Rockets,back injury (DTD),Dwight Howard,DTD
2015-11-14,Suns,sprained left knee (DTD),Markieff Morris,DTD
2015-11-14,Warriors,sore back (DTD),Klay Thompson,DTD
2015-11-14,Wizards,returned to lineup,Nene,returned to lineup
2015-11-15,Jazz,returned to lineup,Rudy Gobert,returned to lineup
2015-11-15,Kings,returned to lineup,Rudy Gay,returned to lineup
2015-11-15,Pelicans,returned to lineup,Anthony Davis,returned to lineup
2015-11-16,76ers,illness (DTD),Phil Pressey,DTD
2015-11-16,76ers,returned to lineup,Robert Covington,returned to lineup
2015-11-16,Bucks,sprained right foot (DTD),Jabari Parker,DTD
2015-11-16,Bulls,sprained left ankle (DTD),Derrick Rose,DTD
2015-11-16,Hawks,sprained ankle (DTD),Kent Bazemore,DTD
2015-11-16,Pacers,upper respiratory infection (DTD),George Hill,DTD
2015-11-16,Pacers,surgery on left thumb to repair chip fracture and torn ligament (out indefinitely),Myles Turner,out indefinitely
2015-11-16,Rockets,returned to lineup,Dwight Howard,returned to lineup
2015-11-17,Nuggets,illness (DTD),Darrell Arthur,DTD
2015-11-17,Nuggets,surgery on right hip to repair torn labrum (out for season),Wilson Chandler,out for season
2015-11-17,Pelicans,stomach illness (DTD),Omer Asik,DTD
2015-11-17,Warriors,returned to lineup,Klay Thompson,returned to lineup
2015-11-18,76ers,returned to lineup,Phil Pressey,returned to lineup
2015-11-18,Magic,returned to lineup,Jason Smith,returned to lineup
2015-11-18,Nuggets,returned to lineup,Darrell Arthur,returned to lineup
2015-11-18,Pelicans,shoulder injury (DTD),Anthony Davis,DTD
2015-11-18,Pelicans,DNP,Jrue Holiday,Other
2015-11-18,Raptors,left thumb ligament injury (DTD),Terrence Ross,DTD
2015-11-18,Suns,returned to lineup,Markieff Morris,returned to lineup
2015-11-18,Kings,returned to lineup,Darren Collison,returned to lineup
2015-11-19,Bulls,strained left hamstring (DTD),Aaron Brooks,DTD
2015-11-19,Cavaliers,right ankle inflammation (DTD),Maurice Williams,DTD
2015-11-19,Cavaliers,strained right shoulder (DTD),Timofey Mozgov,DTD
2015-11-19,Clippers,returned to lineup,Chris Paul,returned to lineup
2015-11-19,Warriors,virus (DTD),Leandro Barbosa,DTD
2015-11-20,Clippers,illness (DTD),Pablo Prigioni,DTD
2015-11-20,Clippers,returned to lineup,Jonathan Redick,returned to lineup
2015-11-20,Grizzlies,sore right knee (DTD),Zach Randolph,DTD
2015-11-20,Grizzlies,returned to lineup,James Ennis,returned to lineup
2015-11-20,Hornets,sprained left ankle (DTD),Cody Zeller,DTD
2015-11-20,Knicks,head injury (DTD),Louis Amundson,DTD
2015-11-20,Pelicans,returned to lineup,Anthony Davis,returned to lineup
2015-11-20,Pelicans,returned to lineup,Omer Asik,returned to lineup
2015-11-20,Raptors,returned to lineup,Terrence Ross,returned to lineup
2015-11-20,Warriors,returned to lineup,Leandro Barbosa,returned to lineup
2015-11-20,Wizards,surgery on right hip (out for season),Martell Webster,out for season
2015-11-20,Nuggets,strained lower back (DTD),Joffrey Lauvergne,DTD
2015-11-21,76ers,returned to lineup,Richaun Holmes,returned to lineup
2015-11-21,Celtics,bruised left knee (DTD),Marcus Smart,DTD
2015-11-21,Hawks,sore right hip (DTD),Tiago Splitter,DTD
2015-11-21,Knicks,returned to lineup,Louis Amundson,returned to lineup
2015-11-21,Nuggets,sprained left ankle (DTD),Kenneth Faried,DTD
2015-11-21,Pacers,returned to lineup,Rodney Stuckey,returned to lineup
2015-11-21,Raptors,fractured left hand (out indefinitely),Jonas Valanciunas,out indefinitely
2015-11-21,Rockets,rest (DTD),Dwight Howard,DTD
2015-11-21,Wizards,returned to lineup,Bradley Beal,returned to lineup
2015-11-22,Nets,migraine headache (DTD),Wayne Ellington,DTD
2015-11-23,Heat,illness (DTD) (Y),Amare Stoudemire,DTD
2015-11-23,Heat,sore hamstring (DTD),Luol Deng,DTD
2015-11-23,Hornets,returned to lineup,Cody Zeller,returned to lineup
2015-11-24,Clippers,returned to lineup,Pablo Prigioni,returned to lineup
2015-11-24,Pacers,returned to lineup,George Hill,returned to lineup
2015-11-25,76ers,bruised left knee (DTD),Nik Stauskas,DTD
2015-11-25,Cavaliers,left calf tightness (DTD),Matthew Dellavedova,DTD
2015-11-25,Cavaliers,returned to lineup,Maurice Williams,returned to lineup
2015-11-25,Kings,sore back (DTD),DeMarcus Cousins,DTD
2015-11-25,Nets,returned to lineup,Wayne Ellington,returned to lineup
2015-11-25,Pistons,sore left knee (DTD),Spencer Dinwiddie,DTD
2015-11-25,Rockets,returned to lineup,Dwight Howard,returned to lineup
2015-11-25,Thunder,sore ankle (DTD),Mitch McGary,DTD
2015-11-27,76ers,sore right knee (DTD),Nerlens Noel,DTD
2015-11-27,76ers,returned to lineup,Nik Stauskas,returned to lineup
2015-11-27,Blazers,sore ankle (DTD),Chris Kaman,DTD
2015-11-27,Cavaliers,returned to lineup,Matthew Dellavedova,returned to lineup
2015-11-27,Cavaliers,returned to lineup,Timofey Mozgov,returned to lineup
2015-11-27,Heat,illness (DTD),Chris Andersen,DTD
2015-11-27,Mavericks,sprained right ankle (DTD),Jose Barea,DTD
2015-11-27,Pacers,sore lower back (DTD),Jordan Hill,DTD
2015-11-27,Pacers,recovering from surgery on left thumb to repair chip fracture and torn ligament (out indefinitely),Myles Turner,out indefinitely
2015-11-27,Pistons,returned to lineup,Spencer Dinwiddie,returned to lineup
2015-11-27,Timberwolves,ankle injury (DTD),Ricky Rubio,DTD
2015-11-28,Nuggets,concussion (DTD),Gary Harris,DTD
2015-11-28,Wizards,strained right calf (DTD),Drew Gooden,DTD
2015-11-28,Wizards,strained left groin (DTD),Gary Neal,DTD
2015-11-29,Grizzlies,returned to lineup,Zach Randolph,returned to lineup
2015-11-29,Knicks,illness (DTD),Carmelo Anthony,DTD
2015-11-29,Pacers,returned to lineup,Jordan Hill,returned to lineup
2015-11-30,Bulls,left hip pointer (DTD),Kirk Hinrich,DTD
2015-11-30,Heat,returned to lineup,Chris Andersen,returned to lineup
2015-11-30,Hornets,strained left calf (out indefinitely),Al Jefferson,out indefinitely
2015-11-30,Nets,sore hamstring,Andrea Bargnani,Other
2015-11-30,Pacers,sore ribs (DTD) (Y),Shayne Whittington,DTD
2015-12-01,76ers,returned to lineup,Nerlens Noel,returned to lineup
2015-12-01,Mavericks,rest (DNP),Chandler Parsons,DNP
2015-12-01,Pelicans,returned to lineup,Norris Cole,returned to lineup
2015-12-02,Bulls,returned to lineup,Aaron Brooks,returned to lineup
2015-12-02,Jazz,sprained MCL in left knee (out indefinitely),Rudy Gobert,out indefinitely
2015-12-02,Knicks,returned to lineup,Carmelo Anthony,returned to lineup
2015-12-02,Pelicans,DNP,Jrue Holiday,Other
2015-12-02,Wizards,returned to lineup,Gary Neal,returned to lineup
2015-12-03,Clippers,sprained right ankle (DTD),Jonathan Redick,DTD
2015-12-03,Kings,dislocated right index finger (out indefinitely),Willie Cauley-Stein,out indefinitely
2015-12-03,Nuggets,ankle injury (DTD),Kenneth Faried,DTD
2015-12-03,Pistons,surgery to repair fractured nose (did not miss any games),Aron Baynes,Other
2015-12-04,Bucks,sore left shoulder (DTD),Tyler Ennis,DTD
2015-12-04,Rockets,rest (DTD),Dwight Howard,DTD
2015-12-04,Wizards,sprained left ankle (DTD),Kris Humphries,DTD
2015-12-05,Bulls,strained left hamstring (DTD),Aaron Brooks,DTD
2015-12-05,Bulls,returned to lineup,Kirk Hinrich,returned to lineup
2015-12-05,Cavaliers,rest (DTD),LeBron James,DTD
2015-12-05,Celtics,bruised right heel (DTD),David Lee,DTD
2015-12-05,Nuggets,returned to lineup,Kenneth Faried,returned to lineup
2015-12-05,Rockets,returned to lineup,Dwight Howard,returned to lineup
