Year,Name,player_height,player_weight,gp,net_rating
1996,Tyrone Corbin,198.12,102.0582,70.0,10.5
1996,Tyrone Hill,205.74,111.13004,74.0,5.3
1996,Tyus Edney,177.8,68.945984,70.0,-2.0
1996,Vernon Maxwell,193.04,86.18248,72.0,-7.0
1996,Vin Baker,210.82,111.13004,78.0,-1.6
1996,Vincent Askew,198.12,106.59412,43.0,0.0
1996,Vinny Del Negro,193.04,90.7184,72.0,-8.1
1996,Vitaly Potapenko,208.28,127.00576,80.0,-0.2
1996,Vlade Divac,215.9,117.93392,81.0,5.4
1996,Voshon Lenard,193.04,92.98636,73.0,8.2
1996,Walt Williams,203.2,104.32616,73.0,-1.7
1996,Walter McCarty,208.28,104.32616,35.0,3.2
1996,Wayman Tisdale,205.74,117.93392,53.0,-3.5
1996,Wesley Person,198.12,88.45044,80.0,0.7
1996,Will Perdue,213.36,108.86208,65.0,-4.7
1996,Willie Anderson,203.2,90.7184,28.0,-1.0
1996,Willie Burton,203.2,95.25431999999999,24.0,-4.8
1996,Xavier McDaniel,200.66,98.883056,62.0,-0.8
1996,Yinka Dare,213.36,120.20188,41.0,-1.4
1996,Zan Tabak,213.36,111.13004,13.0,-12.2
1997,A.C. Green,205.74,102.0582,82.0,-7.2
1997,Aaron McKie,195.58,94.800728,81.0,1.6
1997,Aaron Williams,205.74,102.0582,65.0,5.5
1997,Adam Keefe,205.74,104.32616,80.0,9.7
1997,Adonal Foyle,208.28,113.398,55.0,-11.8
1997,Adrian Caldwell,203.2,120.20188,1.0,18.5
1997,Alan Henderson,205.74,106.59412,69.0,3.4
1997,Allan Houston,198.12,90.7184,82.0,2.8
1997,Allen Iverson,182.88,74.84268,80.0,-2.8
1997,Alonzo Mourning,208.28,118.38751200000002,58.0,12.0
1997,Alton Lister,213.36,111.13004,7.0,-8.6
1997,Alvin Williams,195.58,83.91452,54.0,1.1
1997,Andrew DeClercq,208.28,104.32616,81.0,-3.4
1997,Andrew Lang,210.82,122.46984,57.0,-12.0
1997,Anfernee Hardaway,200.66,97.52228,19.0,-5.3
1997,Anthony Bowie,198.12,90.7184,27.0,-2.2
1997,Anthony Goldwire,187.96,82.553744,82.0,-13.0
1997,Anthony Johnson,190.5,86.18248,77.0,-7.7
1997,Anthony Mason,203.2,113.398,81.0,2.5
1997,Anthony Miller,205.74,115.66596,37.0,-2.8
1997,Anthony Parker,198.12,97.52228,37.0,-5.0
1997,Anthony Peeler,193.04,94.347136,38.0,1.0
1997,Antoine Carr,205.74,122.46984,66.0,4.5
1997,Antoine Walker,205.74,111.13004,82.0,-4.9
1997,Antonio Daniels,193.04,88.45044,74.0,-12.8
1997,Antonio Davis,205.74,104.32616,82.0,5.8
1997,Antonio Lang,203.2,92.98636,6.0,-12.6
1997,Antonio McDyess,205.74,99.79024,81.0,4.1
1997,Armen Gilliam,205.74,117.93392,82.0,-3.2
1997,Arvydas Sabonis,220.98,132.448864,73.0,4.6
1997,Austin Croshere,205.74,106.59412,26.0,-3.1
1997,Avery Johnson,180.34,81.64656,75.0,5.6
1997,B.J. Armstrong,187.96,83.91452,66.0,-1.8
1997,Ben Davis,205.74,108.86208,7.0,-29.9
1997,Ben Wallace,205.74,108.86208,67.0,8.7
1997,Benoit Benjamin,213.36,120.20188,14.0,2.5
