Year,Team,Notes,Name,Injury Class
2012,Lakers,tendinitis in both knees (DNP),Pau Gasol,DNP
2012,76ers,sprained left foot (DTD),Jrue Holiday,DTD
2012,Bucks,bruised left knee (DNP),Mike Dunleavy,DNP
2012,Hornets,sprained right shoulder (DNP),Jason Smith,DNP
2012,Lakers,back spasms (DNP),Jordan Hill,DNP
2012,Lakers,tendinitis in both knees (DNP),Pau Gasol,DNP
2012,Pacers,sprained right ankle (DNP),Lance Stephenson,DNP
2012,Timberwolves,hyperextended right knee (DNP),Malcolm Lee,DNP
2012,Wizards,fractured right hand (DNP),Anthony Price,DNP
2012,Wizards,strained left calf (DNP),Trevor Ariza,DNP
2012,Bulls,bruised left knee (DNP),Kirk Hinrich,DNP
2012,Cavaliers,gastroenteritis (DNP),Omri Casspi,DNP
2012,Grizzlies,concussion (DNP),Darrell Arthur,DNP
2012,Knicks,sprained left ankle (DNP),Carmelo Anthony,DNP
2012,Knicks,sore left foot (DNP),Marcus Camby,DNP
2012,Knicks,sore left foot (DNP),Rasheed Wallace,DNP
2012,Pacers,sprained right ankle (DNP),Lance Stephenson,DNP
2012,Timberwolves,hyperextended right knee (DNP),Josh Howard,DNP
2012,Timberwolves,flu (P) / right thumb injury (CBC) (DNP),Kevin Love,DNP
2012,Timberwolves,hyperextended right knee (DNP),Malcolm Lee,DNP
2012,Warriors,bruised right knee (DNP),Festus Ezeli,DNP
2012,Wizards,sore left foot (DNP),Nene,DNP
2012,76ers,sprained left foot (DNP),Jrue Holiday,DNP
2012,Lakers,back spasms (DNP),Jordan Hill,DNP
2012,Lakers,tendinitis in both knees (DNP),Pau Gasol,DNP
2012,Rockets,bone bruise in right foot (DNP),Patrick Patterson,DNP
2012,Kings,sore left knee (DNP),Tyreke Evans,DNP
2012,Knicks,sprained left ankle (DNP),Carmelo Anthony,DNP
2012,Knicks,sore left foot (DNP),Marcus Camby,DNP
2012,Pistons,back spasms (DNP),Rodney Stuckey,DNP
2012,Rockets,bone bruise in right foot (DNP),Patrick Patterson,DNP
2012,Spurs,bruised left quadricep (DNP),Emanuel Ginobili,DNP
2012,Timberwolves,hyperextended right knee (DNP),Josh Howard,DNP
2012,Timberwolves,hyperextended right knee (DNP),Malcolm Lee,DNP
2012,76ers,sprained left foot (DNP),Jrue Holiday,DNP
2012,Heat,illness (DTD),Terrel Harris,DTD
2012,Mavericks,strained right groin (DNP),Elton Brand,DNP
2012,Timberwolves,hyperextended right knee (DNP),Josh Howard,DNP
2012,Timberwolves,hyperextended right knee (DNP),Malcolm Lee,DNP
2012,Timberwolves,rest / sore left knee (DNP),Ricky Rubio,DNP
2012,Wizards,fractured right hand (DNP),Anthony Price,DNP
2012,Wizards,strained left calf (DNP),Trevor Ariza,DNP
2012,76ers,sprained left foot (DNP),Jrue Holiday,DNP
2012,Cavaliers,sprained right ankle (DNP),Daniel Gibson,DNP
2012,Celtics,sprained right thumb (out indefinitely),Chris Wilcox,out indefinitely
2012,Knicks,sore left foot (DNP),Marcus Camby,DNP
2012,Knicks,sore left foot (DNP),Rasheed Wallace,DNP
2012,Knicks,flu (DNP),Steve Novak,DNP
2012,Rockets,bone bruise in right foot (DNP),Patrick Patterson,DNP
2012,Wizards,back injury (DNP),Bradley Beal,DNP
2012,Blazers,sore left ankle (DNP),LaMarcus Aldridge,DNP
2012,Magic,strained left shoulder (out indefinitely),Glen Davis,out indefinitely
2012,Mavericks,sprained right ankle (DNP),Brandan Wright,DNP
2012,Mavericks,strained right knee (DNP),Derek Fisher,DNP
2012,Mavericks,strained right groin (DNP),Elton Brand,DNP
2012,Thunder,bruised right quadriceps (DNP),Kevin Martin,DNP
2012,Timberwolves,hyperextended right knee (DNP),Malcolm Lee,DNP
2012,Timberwolves,torn ACL in right knee (out indefinitely),Josh Howard,out indefinitely
2012,Bobcats,sore right knee (DNP),Ben Gordon,DNP
2012,Celtics,sprained right thumb (DNP),Chris Wilcox,DNP
2012,Kings,sore lower back (DNP),Francisco Garcia,DNP
2012,Knicks,sore left foot (DNP),Marcus Camby,DNP
2012,Knicks,sore left foot (DNP),Rasheed Wallace,DNP
2012,Magic,sprained left shoulder (DNP),Glen Davis,DNP
2012,Mavericks,strained right groin (DNP),Elton Brand,DNP
2012,Raptors,fractured right ring finger (out indefinitely),Jonas Valanciunas,out indefinitely
2012,Wizards,fractured right hand (DNP),Anthony Price,DNP
2012,Wizards,sore back (DNP),Bradley Beal,DNP
2012,Wizards,sore left foot (P) / flu (CBC) (DNP),Nene,DNP
2012,Wizards,strained left calf (DNP),Trevor Ariza,DNP
2012,Bobcats,sore right knee (DNP),Ben Gordon,DNP
2012,Bobcats,bruised right shin (DNP),Gerald Henderson,DNP
2012,Grizzlies,migraine headache (DNP),Tony Wroten,DNP
2012,Wizards,fractured right hand (DNP),Anthony Price,DNP
2012,Wizards,strained left calf (DNP),Trevor Ariza,DNP
2012,Blazers,left hip injury (DNP),Wesley Matthews,DNP
2012,Bobcats,sprained left ankle (out indefinitely),Byron Mullens,out indefinitely
2012,Jazz,sprained right thumb (out indefiinitely),Maurice Williams,Other
2012,Jazz,sprained right thumb (DNP),Maurice Williams,DNP
2012,Kings,sore lower back (DNP),Francisco Garcia,DNP
2012,Knicks,sore left foot (DNP),Marcus Camby,DNP
2012,Knicks,sore left foot (DNP),Rasheed Wallace,DNP
2012,Magic,sprained left shoulder (DNP),Glen Davis,DNP
2012,Timberwolves,left eye injury (DNP),Kevin Love,DNP
2012,Timberwolves,hyperextended right knee (DNP),Malcolm Lee,DNP
2012,Knicks,sore left foot (DNP),Rasheed Wallace,DNP
2012,76ers,strained lower back (DNP),Jason Richardson,DNP
2012,Jazz,sprained right thumb (DNP),Maurice Williams,DNP
2012,Knicks,hyperextended left knee (DNP),Carmelo Anthony,DNP
2012,Knicks,sore left foot (DNP),Rasheed Wallace,DNP
2012,Knicks,fractured right pinky finger (DNP),Raymond Felton,DNP
2012,Magic,sprained left shoulder (DNP),Glen Davis,DNP
2012,Nets,bruised right wrist (DNP),Deron Williams,DNP
2012,Spurs,strained right calf (DNP),Gary Neal,DNP
2012,Timberwolves,hyperextended right knee (DNP),Malcolm Lee,DNP
2012,Celtics,sprained right thumb (DNP),Chris Wilcox,DNP
2012,Hawks,knee injury (DNP),DeShawn Stevenson,DNP
2012,Hawks,illness (DNP),Ivan Johnson,DNP
2012,Jazz,sprained right thumb (DNP),Maurice Williams,DNP
2012,Knicks,hyperextended left knee (DNP),Carmelo Anthony,DNP
2012,Knicks,sore left foot (DNP),Rasheed Wallace,DNP
2012,Knicks,fractured right pinky finger (DNP),Raymond Felton,DNP
2012,Magic,sprained left shoulder (DNP),Glen Davis,DNP
2012,Pacers,flu (DNP),Sam Young,DNP
2012,Rockets,illness (DNP),Carlos Delfino,DNP
2012,Spurs,strained right calf (DNP),Gary Neal,DNP
2012,Wizards,fractured right hand (DNP),Anthony Price,DNP
2012,Wizards,strained left calf (DNP),Trevor Ariza,DNP
2012,Celtics,hip injury (DNP),Rajon Rondo,DNP
2012,Hawks,strained right hip (DTD),Anthony Morrow,DTD
2012,Hawks,hip flexor injury (DNP),Josh Smith,DNP
2012,Magic,sprained left elbow (DNP),E'Twaun Moore,DNP
2012,Magic,sore left hip (DNP),Jameer Nelson,DNP
2012,Pacers,flu (DNP),Sam Young,DNP
2012,Rockets,illness (DNP),Carlos Delfino,DNP
2012,Timberwolves,hyperextended right knee (DNP),Malcolm Lee,DNP
2012,Timberwolves,back spasms (DNP),Ricky Rubio,DNP
2012,Wizards,fractured right hand (DNP),Anthony Price,DNP
2012,Wizards,sore left ankle (DNP),Jordan Crawford,DNP
2012,Wizards,strained left calf (DNP),Trevor Ariza,DNP
2012,Celtics,sprained right thumb (DNP),Chris Wilcox,DNP
2012,Jazz,right knee inflammation (DNP),Marvin Williams,DNP
2012,Jazz,sprained right thumb (DNP),Maurice Williams,DNP
2012,Kings,sore left ankle (DNP),Aaron Brooks,DNP
2012,Spurs,strained right calf (DNP),Gary Neal,DNP
2012,Bobcats,scratched cornea (DNP),Michael Kidd-Gilchrist,DNP
2012,Bulls,left knee injury (DNP),Kirk Hinrich,DNP
2012,Magic,sprained left elbow (DNP),E'Twaun Moore,DNP
2012,Magic,bruised right thigh (DNP),Gustavo Ayon,DNP
2012,Magic,sore left hip (DNP),Jameer Nelson,DNP
2012,Pacers,strained right groin (DNP),George Hill,DNP
2012,Spurs,strained right calf (DNP),Gary Neal,DNP
2013,Hawks,strained right hip (DNP),Anthony Morrow,DNP
2013,Kings,sprained left ankle (DNP),Marcus Thornton,DNP
2013,Knicks,sore left foot (DNP),Rasheed Wallace,DNP
2013,Lakers,back spasms (DNP),Chris Duhon,DNP
2013,Nuggets,strained left Achilles tendon (DNP),Ty Lawson,DNP
2013,Wizards,fractured right hand (DNP),Anthony Price,DNP
2013,Wizards,strained left calf (DNP),Trevor Ariza,DNP
2013,Bulls,flu (DNP),Joakim Noah,DNP
2013,Bulls,flu (DNP),Vladimir Radmanovic,DNP
2013,Celtics,sprained right ankle (DNP),Kris Joseph,DNP
2013,Hornets,right knee injury (DNP),Eric Gordon,DNP
2013,Jazz,surgery on right thumb (out indefinitely),Maurice Williams,out indefinitely
2013,Jazz,recovering from surgery on right thumb (DNP),Maurice Williams,DNP
2013,Kings,sprained left ankle (DNP),Marcus Thornton,DNP
2013,Magic,sprained left elbow (DNP),E'Twaun Moore,DNP
2013,Nets,right knee injury (DTD),Charles Watson,DTD
2013,Raptors,sore right knee (DNP),Linas Kleiza,DNP
2013,Rockets,flu (DNP),Cole Aldrich,DNP
2013,Timberwolves,hyperextended right knee (DNP),Malcolm Lee,DNP
2013,Timberwolves,back spasms (DNP),Ricky Rubio,DNP
2013,Wizards,fractured right hand (DNP),Anthony Price,DNP
2013,Wizards,strained left calf (DNP),Trevor Ariza,DNP
2013,Celtics,concussion (DTD),Fab Melo,DTD
2013,Knicks,sore left foot (DNP),Rasheed Wallace,DNP
2013,Timberwolves,hyperextended right knee (DNP),Malcolm Lee,DNP
2013,Timberwolves,back spasms (DNP),Ricky Rubio,DNP
2013,Clippers,sore left foot (DNP),Jamal Crawford,DNP
2013,Grizzlies,flu (DNP),Zach Randolph,DNP
2013,Hawks,strained right hip (DNP),Anthony Morrow,DNP
2013,Hawks,sore back / flu (DNP),Johan Petro,DNP
2013,Jazz,sprained right ankle (DNP),Enes Kanter,DNP
2013,Jazz,recovering from surgery on right thumb (DNP),Maurice Williams,DNP
2013,Kings,sprained left ankle (DNP),Marcus Thornton,DNP
2013,Pacers,sprained left ankle (DNP),Sam Young,DNP
2013,Raptors,sore right knee (DNP),Linas Kleiza,DNP
2013,Wizards,fractured right hand (DNP),Anthony Price,DNP
2013,Wizards,strained left calf (DNP),Trevor Ariza,DNP
2013,Bucks,sprained left ankle (DNP),Sam Young,DNP
2013,Cavaliers,illness (DNP),Samardo Samuels,DNP
2013,Clippers,sore left foot (DNP),Jamal Crawford,DNP
2013,Hawks,strained right hip (DNP),Anthony Morrow,DNP
2013,Jazz,sprained right ankle (DNP),Enes Kanter,DNP
2013,Jazz,recovering from surgery on right thumb (DNP),Maurice Williams,DNP
2013,Kings,sprained left ankle (DNP),Marcus Thornton,DNP
2013,Knicks,sore left foot (DNP),Rasheed Wallace,DNP
2013,Magic,sprained left elbow (DNP),E'Twaun Moore,DNP
2013,Magic,bruised right thigh (DNP),Gustavo Ayon,DNP
2013,Spurs,sprained right ankle (DNP),Stephen Jackson,DNP
2013,Timberwolves,fractured right hand/finger (DNP),Kevin Love,DNP
2013,Timberwolves,hyperextended right knee (DNP),Malcolm Lee,DNP
2013,Timberwolves,back spasms (DNP),Ricky Rubio,DNP
2013,Raptors,flu (DNP),Aaron Gray,DNP
2013,Raptors,sore right knee (DNP),Linas Kleiza,DNP
2013,Wizards,fractured right hand (DNP),Anthony Price,DNP
2013,Wizards,strained left calf (DNP),Trevor Ariza,DNP
2013,Jazz,recovering from surgery on right thumb (DNP),Maurice Williams,DNP
2013,Knicks,sore left foot (DNP),Rasheed Wallace,DNP
2013,Magic,strained left elbow (DNP),E'Twaun Moore,DNP
2013,Magic,bruised right thigh (DNP),Gustavo Ayon,DNP
2013,Wizards,hyperextended left knee (DNP),Cartier Martin,DNP
2013,Wizards,sore left ankle (DNP),Jordan Crawford,DNP
2013,Wizards,right knee tendinitis (DNP),Nene,DNP
2013,Hawks,sore back (DNP),Johan Petro,DNP
2013,Lakers,right shoulder injury (DNP),Dwight Howard,DNP
2013,Lakers,right hip injury (DNP),Jordan Hill,DNP
2013,Lakers,concussion (DNP),Pau Gasol,DNP
2013,Timberwolves,fractured right hand/finger (DNP),Kevin Love,DNP
2013,Timberwolves,hyperextended right knee (DNP),Malcolm Lee,DNP
2013,Bulls,right elbow injury (DNP),Kirk Hinrich,DNP
2013,Cavaliers,back spasms (DNP),Calvin Miles,DNP
2013,Hawks,strained right hip (DNP),Anthony Morrow,DNP
2013,Jazz,right knee inflammation (DNP),Marvin Williams,DNP
2013,Lakers,right shoulder injury (DNP),Dwight Howard,DNP
2013,Lakers,left hip injury (DNP),Jordan Hill,DNP
2013,Lakers,concussion (DNP),Pau Gasol,DNP
2013,Magic,sprained left elbow (DNP),E'Twaun Moore,DNP
2013,Magic,bruised right thigh (DNP),Gustavo Ayon,DNP
2013,Magic,left hand injury (DTD),Hidayet Turkoglu,DTD
2013,Raptors,sore right knee (DNP),Linas Kleiza,DNP
2013,Raptors,sprained left ankle (DNP),Terrence Ross,DNP
2013,Timberwolves,back spasms (DNP),Jose Barea,DNP
2013,Timberwolves,fractured right hand/finger (DNP),Kevin Love,DNP
2013,Timberwolves,hyperextended right knee (DNP),Malcolm Lee,DNP
2013,Cavaliers,surgery on right knee to repair torn muscle,Anderson Varejao,Other
2013,Knicks,sore left foot (DNP),Rasheed Wallace,DNP
2013,Jazz,right knee inflammation (DNP),Marvin Williams,DNP
2013,Knicks,strained left foot (DNP),Marcus Camby,DNP
2013,Knicks,sore left foot (DNP),Rasheed Wallace,DNP
2013,Lakers,right shoulder injury (DNP),Dwight Howard,DNP
2013,Lakers,left hip injury (DNP),Jordan Hill,DNP
2013,Lakers,concussion (DNP),Pau Gasol,DNP
2013,Nets,sore left ankle (DNP),Kris Humphries,DNP
2013,Nets,illness (DNP),Mirza Teletovic,DNP
2013,Raptors,sore right knee (DNP),Linas Kleiza,DNP
2013,Timberwolves,back spasms (DNP),Jose Barea,DNP
2013,Timberwolves,fractured right hand/finger (DNP),Kevin Love,DNP
2013,Timberwolves,illness (DNP),Lazar Hayward,DNP
2013,Timberwolves,hyperextended right knee (DNP),Malcolm Lee,DNP
2013,Warriors,strained right groin (DNP),Andris Biedrins,DNP
2013,Grizzlies,sprained MCL in left knee (DNP),Quincy Pondexter,DNP
2013,Jazz,right knee inflammation (DNP),Marvin Williams,DNP
2013,Magic,bruised right thigh (DNP),Gustavo Ayon,DNP
2013,Suns,right wrist injury (DTD),Jared Dudley,DTD
2013,Timberwolves,surgery on right knee and right hip (out for season) (date approximate),Malcolm Lee,out for season
2013,Wizards,sore left ankle (DNP),Jordan Crawford,DNP
2013,Knicks,strained plantar fascia in left foot (DNP),Marcus Camby,DNP
2013,Knicks,sore left foot (DNP),Rasheed Wallace,DNP
2013,Lakers,concussion (DNP),Pau Gasol,DNP
2013,Nets,bruised ribs (DTD),Gerald Wallace,DTD
2013,Thunder,strained neck (DNP),Thabo Sefolosha,DNP
2013,Timberwolves,fractured right hand/finger (DNP),Kevin Love,DNP
2013,Timberwolves,hyperextended right knee (DNP),Malcolm Lee,DNP
2013,Warriors,strained right groin (DNP),Andris Biedrins,DNP
2013,Clippers,bruised right knee (DNP),Chris Paul,DNP
2013,Hawks,sore right knee (DNP),DeShawn Stevenson,DNP
2013,Spurs,strained left hamstring (out indefinitely),Emanuel Ginobili,out indefinitely
2013,Suns,strained right wrist (DNP),Jared Dudley,DNP
2013,Suns,back spasms (DNP),Jermaine O'Neal,DNP
2013,Wizards,sore left ankle (DNP),Jordan Crawford,DNP
2013,Wizards,sprained left ankle (DNP),Trevor Booker,DNP
2013,Clippers,bruised right knee (DNP),Chris Paul,DNP
2013,Timberwolves,surgery to repair fractured right hand/finger,Kevin Love,Other
2013,Hornets,sore right knee / rest (DNP),Eric Gordon,DNP
2013,Raptors,sore right knee (DNP),Linas Kleiza,DNP
2013,Warriors,sprained right ankle (DNP),Stephen Curry,DNP
2013,Wizards,sore left ankle (DNP),Jordan Crawford,DNP
2013,Wizards,sprained left ankle (DNP),Trevor Booker,DNP
2013,Clippers,bruised right knee (DNP),Chris Paul,DNP
2013,Knicks,sore left foot (DNP),Rasheed Wallace,DNP
2013,Timberwolves,recovering from surgery to repair fractured right hand/finger (DNP),Kevin Love,DNP
2013,Timberwolves,recovering from surgery on right knee and right hip,Malcolm Lee,Other
2013,76ers,sinus infection (DTD),Kwame Brown,DTD
2013,Celtics,bruised ribs (DNP),Avery Bradley,DNP
2013,Grizzlies,strained lower back (DNP),Zach Randolph,DNP
2013,Hawks,left hamstring injury (DNP),Al Horford,DNP
2013,Hawks,sore right knee (DNP),DeShawn Stevenson,DNP
2013,Pacers,illness (DNP),Gerald Green,DNP
2013,Bulls,strained right hamstring (DNP),Luol Deng,DNP
2013,Hornets,sprained left ankle (DNP),Brian Roberts,DNP
2013,Spurs,rest (DNP),Tim Duncan,DNP
2013,Timberwolves,sprained left ankle (DNP),Alexey Shved,DNP
2013,Timberwolves,illness (DNP),Dante Cunningham,DNP
2013,Timberwolves,recovering from surgery to repair fractured right hand/finger (DNP),Kevin Love,DNP
2013,Timberwolves,bruised right quadricep (DNP),Nikola Pekovic,DNP
2013,Warriors,sprained left ankle (DNP),David Lee,DNP
2013,Raptors,sore right knee (DNP),Linas Kleiza,DNP
2013,76ers,left knee synovitis (DNP),Jason Richardson,DNP
2013,Bulls,strained right hamstring (DNP),Luol Deng,DNP
2013,Cavaliers,blood clot in right lung (out for season),Anderson Varejao,out for season
2013,Hawks,sprained left ankle (DNP),Devin Harris,DNP
2013,Knicks,sore left foot (DNP),Rasheed Wallace,DNP
2013,Timberwolves,sprained left ankle (DNP),Alexey Shved,DNP
2013,Timberwolves,recovering from surgery to repair fractured right hand/finger (DNP),Kevin Love,DNP
2013,Timberwolves,bruised right quadricep (DNP),Nikola Pekovic,DNP
2013,76ers,left knee synovitis (DNP),Jason Richardson,DNP
2013,Bucks,ankle injury (DTD),Doron Lamb,DTD
2013,Cavaliers,illness (DNP),Calvin Miles,DNP
2013,Clippers,bruised right kneecap (DNP),Chris Paul,DNP
2013,Hawks,sore left calf (P) / hamstring (CBC) (DNP),Al Horford,DNP
2013,Hawks,sprained left ankle (DNP),Devin Harris,DNP
2013,Hawks,sore right Achilles tendon (DNP),Zaur Pachulia,DNP
2013,Lakers,"surgery on left hip to remove loose fragments, repair a torn labrum, and microfracture to repair damaged cartilage (out indefinitely)",Jordan Hill,out indefinitely
2013,Spurs,rest (DTD),Tim Duncan,DTD
2013,Timberwolves,sprained left ankle (DNP),Alexey Shved,DNP
2013,Timberwolves,recovering from surgery to repair fractured right hand/finger (DNP),Kevin Love,DNP
2013,Timberwolves,bruised right quadricep (DNP),Nikola Pekovic,DNP
2013,Clippers,bruised right kneecap (DNP),Chris Paul,DNP
2013,Knicks,sore left foot (DNP),Rasheed Wallace,DNP
2013,Bulls,strained right hamstring (DNP),Luol Deng,DNP
2013,Grizzlies,sprained MCL in left knee (DNP),Quincy Pondexter,DNP
2013,Timberwolves,sprained left ankle (DNP),Alexey Shved,DNP
2013,Timberwolves,recovering from surgery to repair fractured right hand/finger (DNP),Kevin Love,DNP
2013,Timberwolves,bruised right quadricep (DNP),Nikola Pekovic,DNP
2013,76ers,left knee synovitis (DNP),Jason Richardson,DNP
2013,Bulls,strained right hamstring (DNP),Luol Deng,DNP
2013,Cavaliers,sore left foot/ankle (DNP),Luke Walton,DNP
2013,Clippers,bruised right kneecap (DNP),Chris Paul,DNP
2013,Raptors,sore right knee (DNP),Linas Kleiza,DNP
2013,Timberwolves,sprained left ankle (DNP),Alexey Shved,DNP
2013,Timberwolves,recovering from surgery to repair fractured right hand/finger (DNP),Kevin Love,DNP
2013,Timberwolves,bruised right quadricep (DNP),Nikola Pekovic,DNP
2013,Celtics,torn ACL in right knee (DNP),Rajon Rondo,DNP
2013,Clippers,bruised right kneecap (DNP),Chris Paul,DNP
2013,76ers,left knee synovitis (DNP),Jason Richardson,DNP
2013,76ers,returned to lineup,Kwame Brown,returned to lineup
2013,Grizzlies,sprained left ankle (DNP),Mike Conley,DNP
2013,Jazz,sprained right shoulder (DNP),Gordon Hayward,DNP
2013,Nets,concussion (out indefinitely),Tornike Shengelia,out indefinitely
2013,Nuggets,strained groin (DNP) (CBC P),Wilson Chandler,DNP
2013,Raptors,back spasms (DNP),Kyle Lowry,DNP
2013,Raptors,sore right knee (DNP),Linas Kleiza,DNP
2013,Cavaliers,sprained right big toe (DNP),Daniel Gibson,DNP
2013,Cavaliers,sore left ankle (DNP),Luke Walton,DNP
2013,Warriors,bruised left shoulder (DNP),Carl Landry,DNP
2013,Warriors,sprained right ankle (DNP),Stephen Curry,DNP
2013,76ers,left knee synovitis (DNP),Jason Richardson,DNP
2013,Bobcats,bruised left knee (DNP),Tyrus Thomas,DNP
2013,Bulls,strained right hamstring (DNP),Carlos Boozer,DNP
2013,Celtics,torn ACL in right knee (DNP),Rajon Rondo,DNP
2013,Clippers,bruised right kneecap (DNP),Chris Paul,DNP
2013,Hornets,DNP,Eric Gordon,Other
2013,Jazz,sprained right shoulder (DNP),Gordon Hayward,DNP
